AARON,ARON,ARRON,ARUN
ALAN,ALLAN,ALLEN,ALLYN
ANDRE,ANDREY
ANN,ANNE
AUDREY,AUDRY,AUDRIE
BARY,BARRY
BERNIE,BERNY
BERT,BURT
BRIAN,BRYAN
CARY,CARRY,CARRIE,CARI,KERI,KERRY,CAREY
CHRISS,CHRIS,CRIS
CHUK,CHUCK
CORY,CORRY,CORREY,COREY
DARREL,DARRELL,DARELL
DERICK,DERRIC,DERRICK,DEREK,DERREK,DERYCK
DUANE,DWAYNE
ERIC,ERIK
GARY,GARRY
GIL,GILL
GLEN,GLENN
GREGG,GREG
HOWY,HOWIE
JEAN,GENE,JEANNE
JERRY,GERRY,GERI
JESSY,JESSIE,JESSE
JO,JOE
JON,JOHN
KARL,CARL
KEVEN,KEVIN,KEVAN
LAR,LAAR,LAR,LARR
LES,LESS
MARCUS,MARKUS
MARILYN,MARILYNN,MARYLIN
MARK,MARC
MARKO,MARCO
MAT,MATT
MICH,MITCH
MIK,MIKE,MYK
MO,MOE
NATHEN,NATHAN
NEAL,NEIL
NIC,NICK
PARRY,PERRY
PAT,PATT
PEEWE,PEEWEE
PHIL,PHILL
RALF,RALPH,RAIF
RAMSY,RAMSEY,RAMSAY,RAMZEY,RAMZI,RAMZEE,RAMZIE,RAMSEE,RAMSIE,RAMZY
RIAN,RYAN
RIC,RICK
ROBBY,ROBBIE,ROBBI,ROBI
ROGER,RODGER
ROLF,ROLFE
RUSSYL,RUSSEL
SCOT,SCOTT
SHAWN,SEAN,SHEAN,SHAUN,SHAYNE,SHAINE,SHAN,SHON
TOD,TODD
TOM,THOM
TOMMY,TOMY
TY,TYE,TIGHE
VIC,VICK,VIK
WIL,WILL
