#ABBREVIATION,LONG NAME,COUNTS AS FOR FL STATIONS,DX Entity Number,Counts As Mult for FL,Counts As Mult for Other,Type
ALC,ALACHUA,FL,291,false,true,FL
BAK,BAKER,FL,291,false,true,FL
BAY,BAY,FL,291,false,true,FL
BRA,BRADFORD,FL,291,false,true,FL
BRE,BREVARD,FL,291,false,true,FL
BRO,BROWARD,FL,291,false,true,FL
CAH,CALHOUN,FL,291,false,true,FL
CHA,CHARLOTTE,FL,291,false,true,FL
CIT,CITRUS,FL,291,false,true,FL
CLA,CLAY,FL,291,false,true,FL
CLM,COLUMBIA,FL,291,false,true,FL
CLR,COLLIER,FL,291,false,true,FL
DAD,"MIAMI-DADE",FL,291,false,true,FL
DES,DESOTO,FL,291,false,true,FL
DIX,DIXIE,FL,291,false,true,FL
DUV,DUVAL,FL,291,false,true,FL
ESC,ESCAMBIA,FL,291,false,true,FL
FLG,FLAGLER,FL,291,false,true,FL
FRA,FRANKLIN,FL,291,false,true,FL
GAD,GADSDEN,FL,291,false,true,FL
GIL,GILCHRIST,FL,291,false,true,FL
GLA,GLADES,FL,291,false,true,FL
GUL,GULF,FL,291,false,true,FL
HAM,HAMILTON,FL,291,false,true,FL
HAR,HARDEE,FL,291,false,true,FL
HEN,HENDRY,FL,291,false,true,FL
HER,HERNANDO,FL,291,false,true,FL
HIG,HIGHLANDS,FL,291,false,true,FL
HIL,HILLSBOROUGH,FL,291,false,true,FL
HOL,HOLMES,FL,291,false,true,FL
IDR,"INDIAN RIVER",FL,291,false,true,FL
JAC,JACKSON,FL,291,false,true,FL
JEF,JEFFERSON,FL,291,false,true,FL
LAF,LAFAYETTE,FL,291,false,true,FL
LAK,LAKE,FL,291,false,true,FL
LEE,LEE,FL,291,false,true,FL
LEO,LEON,FL,291,false,true,FL
LEV,LEVY,FL,291,false,true,FL
LIB,LIBERTY,FL,291,false,true,FL
MAD,MADISON,FL,291,false,true,FL
MAO,MARION,FL,291,false,true,FL
MON,MONROE,FL,291,false,true,FL
MRT,MARTIN,FL,291,false,true,FL
MTE,MANATEE,FL,291,false,true,FL
NAS,NASSAU,FL,291,false,true,FL
OKA,OKALOOSA,FL,291,false,true,FL
OKE,OKEECHOBEE,FL,291,false,true,FL
ORA,ORANGE,FL,291,false,true,FL
OSC,OSCEOLA,FL,291,false,true,FL
PAL,"PALM BEACH",FL,291,false,true,FL
PAS,PASCO,FL,291,false,true,FL
PIN,PINELLAS,FL,291,false,true,FL
POL,POLK,FL,291,false,true,FL
PUT,PUTNAM,FL,291,false,true,FL
